date,1. open,2. high,3. low,4. close,5. volume
2024-01-22,1.79,2.04,1.78,1.96,26323114.0
2024-01-19,1.64,1.76,1.56,1.74,25110298.0
2024-01-18,1.74,1.78,1.575,1.65,20120949.0
2024-01-17,1.76,1.77,1.65,1.72,18985913.0
2024-01-16,1.9,1.9,1.78,1.8,17064941.0
2024-01-12,2.01,2.07,1.89,1.9,13220752.0
2024-01-11,1.98,2.04,1.86,2.01,25859292.0
2024-01-10,2.14,2.14,1.94,1.94,23301828.0
2024-01-09,2.22,2.27,2.11,2.13,11673102.0
2024-01-08,2.24,2.27,2.14,2.23,13573717.0
2024-01-05,2.1,2.29,2.06,2.23,12729466.0
2024-01-04,2.07,2.18,2.03,2.11,12667542.0
2024-01-03,2.16,2.16,2.03,2.06,15023336.0
2024-01-02,2.3,2.35,2.17,2.17,13233912.0
2023-12-29,2.4,2.41,2.32,2.34,13324873.0
2023-12-28,2.46,2.52,2.36,2.42,20889099.0
2023-12-27,2.52,2.53,2.445,2.48,14453857.0
2023-12-26,2.5,2.68,2.4742,2.49,17804480.0
2023-12-22,2.42,2.54,2.37,2.47,13453392.0
2023-12-21,2.58,2.63,2.34,2.44,18679069.0
2023-12-20,2.61,2.74,2.48,2.48,15143723.0
2023-12-19,2.71,2.78,2.6,2.63,15848568.0
2023-12-18,2.73,2.79,2.63,2.68,13468252.0
2023-12-15,3.02,3.13,2.6,2.72,38339688.0
2023-12-14,2.51,2.92,2.51,2.9,36942024.0
2023-12-13,2.21,2.42,2.145,2.4,16476882.0
2023-12-12,2.31,2.32,2.12,2.22,17364627.0
2023-12-11,2.31,2.37,2.23,2.33,14609844.0
2023-12-08,2.23,2.49,2.16,2.35,25658528.0
2023-12-07,2.04,2.29,1.93,2.25,31344579.0
2023-12-06,2.03,2.18,1.99,2.05,19367230.0
2023-12-05,2.07,2.125,1.98,1.99,16716107.0
2023-12-04,2.02,2.22,2.01,2.09,24634939.0
2023-12-01,1.84,2.04,1.8,2.02,23045673.0
2023-11-30,2.0,2.0092,1.85,1.86,18935417.0
2023-11-29,1.95,2.065,1.94,1.96,16048603.0
2023-11-28,1.95,1.97,1.79,1.93,30206641.0
2023-11-27,2.02,2.02,1.95,1.99,15768049.0
2023-11-24,1.98,2.12,1.94,2.04,14139172.0
2023-11-22,2.01,2.04,1.93,1.97,21417349.0
2023-11-21,2.09,2.115,1.95,1.97,28412994.0
2023-11-20,2.02,2.19,1.97,2.12,50336941.0
2023-11-17,2.03,2.12,1.95,2.02,91422236.0
2023-11-16,3.25,3.31,3.03,3.13,19969713.0
2023-11-15,3.27,3.54,3.23,3.32,20053462.0
2023-11-14,2.9101,3.25,2.905,3.23,20728662.0
2023-11-13,2.69,2.8,2.61,2.75,8751156.0
2023-11-10,2.7,2.73,2.58,2.71,12128763.0
2023-11-09,2.78,2.83,2.63,2.69,13303265.0
